V,Vcin,Vcout,Iin,Ierr,Icout,Icerr,,,Pcin,Pcout,%,R,Vcable,Vincal,diff
2.5,0,0,0,0,0,0,,,0,0,#DIV/0!,,,,
3,0,0,0,0,0,0,,,0,0,#DIV/0!,,,,
3.4,3.33,0.328,0.05,0.001,0.27,0.0001,,,0.1665,0.08856,0.531891891891892,,,,
3.8,3.63,0.57,0.1,0.001,0.37,0.01,,,0.363,0.2109,0.58099173553719,,,,
4,3.76,0.587,0.13,0.001,0.44,0.001,,,0.4888,0.25828,0.528396072013093,,,,
4.2,3.89,0.64,0.15,0,0.491,0.001,,,0.5835,0.31424,0.538543273350471,,,,
4.8,4.38,0.8,0.21,0.001,0.641,0.001,,,0.9198,0.5128,0.557512502717982,,,,
5.2,4.69,0.89,0.25,0.001,0.73,0.001,,,1.1725,0.6497,0.55411513859275,,,,
5.8,5.12,1.003,0.29,0.001,0.842,0.001,,,1.4848,0.844526,0.568780980603448,,,,
6.4,5.62,1.115,0.34,0.001,0.95,0.001,,,1.9108,1.05925,0.554348963784802,,,,
6.8,5.96,1.181,0.36,0.001,1.01,0.001,,,2.1456,1.19281,0.555933072334079,,,,
7.4,6.49,1.27,0.39,0.001,1.11,0.001,,,2.5311,1.4097,0.556951523053218,,,,
7.8,6.92,1.332,0.41,0.001,1.165,0.001,,,2.8372,1.55178,0.546940645707035,,,,
8.4,7.46,1.43,0.44,0.001,1.25,0.001,,,3.2824,1.7875,0.544571045576407,,,,
8.8,7.79,1.49,0.46,0,1.32,0.001,,,3.5834,1.9668,0.548864207177541,,,,
9.2,8.14,1.596,0.51,0.001,1.38,0.001,,,4.1514,2.20248,0.530539095244978,,,,
9.8,8.5,1.993,0.82,0.09,1.512,0.001,,,5.015,2.618784,0.522190229312064,,,,
10,8.6,2.15,1.02,0.09,1.77,0.09,,,9.46,3.8335,0.405232558139535,,,,
10.2,8.7,2.3,1.15,0.09,1.98,0.09,,,10.005,4.257,0.425487256371814,,,,
10.3,8.8,2.5,1.19,0.09,2.1,0.09,,,10.824,4.3416,0.401108647450111,,,,
10.4,8.7,2.7,1.28,0.09,2.3,0.09,,,10.266,4.3026,0.419111630625365,,,,
10.6,7,3.305,1.86,0.09,3.1,0.001,,,13.02,10.2455,0.786904761904762,,,,
10.7,7.3,3.305,1.87,0.001,3.12,0.001,,,13.651,10.31472,0.755601787414842,,,,
10.8,7.4,3.305,1.65,0.01,3.125,0.01,,,12.21,10.328125,0.845874283374283,,,,
11,7.46,3.305,1.59,0.01,3.13,0.01,,,11.8614,10.34465,0.8721272362453,,,,
11.2,7.96,3.305,1.45,0.01,3.1,0.01,,,11.542,10.2455,0.887671114191648,,,,
11.4,8.25,3.303,1.4,0.01,3.1,0.01,,,11.55,10.2393,0.886519480519481,,,,
11.8,8.88,3.303,1.3,0.01,3.1,0.01,,,11.544,10.2393,0.886980249480249,,,,
12,9.16,3.3,1.26,0.01,3.12,0.01,,,11.5416,10.296,0.892077354959451,,,,
12.5,9.88,3.302,1.18,0.001,3.145,0.001,,,11.6584,10.38479,0.890756021409456,,,,
13,10.49,3.3,1.1,0.001,3.114,0.001,,,11.539,10.2762,0.890562440419447,,,,
13.5,11.2,3.301,1.02,0.001,3.111,0.001,,,11.4444,10.896601,0.952133882073328,,,,
14,11.85,3.301,0.98,0.001,3.122,0.001,,,11.613,10.305722,0.887429776974081,,,,
14.5,12.38,3.301,0.94,0.001,3.128,0.001,,,11.6372,10.325528,0.887286288797993,,,,
15,13.09,3.307,0.89,0.001,3.14,0.001,,,11.6501,10.38398,0.891321104539875,,,,
15.5,13.64,3.3,0.85,0.001,3.11,0.001,,,11.594,10.263,0.885199240986717,,,,
16,14.21,3.3,0.82,0.001,3.12,0.001,,,11.6522,10.296,0.883609962067249,,,,
16.5,14.73,3.299,0.78,0.001,3.11,0.001,,,11.4894,10.25989,0.892987449301095,,,,
17,15.32,3.29,0.76,0.001,3.12,0.001,,,11.6432,10.2648,0.881613302184966,,,,
18,16.5,3.299,0.71,0.01,3.11,0.001,,,11.55,10.25989,0.888302164502164,,,,
19,17.59,3.299,0.67,0.001,3.11,0.001,,,11.7853,10.25989,0.870566722951473,,,,
20,18.76,3.299,0.63,0.001,3.1,0.001,,,11.8188,10.2269,0.865307814668156,,,,
21,19.8,3.299,0.6,0.001,3.12,0.001,,,11.88,10.29288,0.86640404040404,,,,
22,20.9,3.29,0.57,0.001,3.12,0.001,,,11.913,10.2648,0.861646940317301,,,,
23,21.9,3.29,0.55,0.001,3.129,0.001,,,12.045,10.29441,0.854662515566625,,,,
24,23,3.29,0.53,0.001,3.14,0.001,,,12.19,10.3306,0.84746513535685,,,,
25,24.1,3.29,0.505,0.001,3.12,0.001,,,12.05,10.2648,0.851850622406639,,,,
26,25.3,3.29,0.485,0.001,3.12,0.001,,,12.144,10.2648,0.845256916996047,,,,
27,26.2,3.295,0.47,0.001,3.12,0.001,,,12.314,10.2804,0.834854636998538,,,,
28,27.3,3.255,0.45,0.001,3.12,0.001,,,12.285,10.1556,0.826666666666667,,,,
30,29.4,3.285,0.425,0.001,3.12,0.001,,,12.642,10.2648,0.811960132890366,,,,
32,31.5,3.29,0.4,0.001,3.12,0.001,,,12.6,10.2648,0.814666666666667,,,,
34,33.6,3.29,0.38,0.001,3.14,0.001,,,13.104,10.3306,0.788354700854701,,,,
36,35.6,3.29,0.365,0.001,3.14,0.001,,,13.172,10.3306,0.784284846644397,,,,
