E3631A,,,,,,,,
Vin [V],Iin [A],Tin [ms],Vout [V],Tout  [ms],Delay  [ms],,,
5,2.75,,3.3,,,,,
10,1.2,5,3.3,4,2,,1.5V/ms,1.5 kV/s
12,0.98,5,3.3,4,,,,
15,0.83,6,3.3,4,,,,
20,0.59,8,3.3,4,,,,
,,,,,,,,
Peaktech 6181 ,,,,,,,,
Vin [V],Iin [A],Tin [ms],Vout [V],Tout  [ms],Delay  [ms],,,
15,0.869,100,3.3,4,6,,,
18,0.725,110,3.3,4,6,,1.5V/ms,1.5 kV/s
20,0.66,120,3.3,4,6,,,
,,,,,,,,
C = 47 muF,,,,,,,,
Vin [V],Iin [A],Tin [ms],Vout [V],Tout  [ms],Delay  [ms],,,
15,0.889,100,3.3,4,8,,0.2V/ms,200V/s
18,0.744,110,3.3,4,8,,,
20,0.676,150,3.3,4,8,,,
25,0.555,150,3.3,4,8,,,
,,,,,,,,
C = 1000 muF,,,,,,,,
Vin [V],Iin [A],Tin [ms],Vout [V],Tout  [ms],Delay  [ms],,,
15,0.893,105,3.3,4,8,,,
18,0.744,110,3.3,4,8,,0.4V/ms,400V/s
20,0.67,140,3.3,4,8,,,
,,,,,,,,
,,,,,,,,
C = 2200 muF,,,,,,,,
Vin [V],Iin [A],Tin [ms],Vout [V],Tout  [ms],Delay  [ms],,,
15,0.893,110,3.3,4,8,,,
18,0.74,140,3.3,4,8,,,
20,0.667,120,3.3,4,8,,0.4V/ms,400V/s
25,0.547,100,3.3,4,8,,,
,,,,,,,,
,,,,,,,,
C = 4700 muF,,,,,,,,
Vin [V],Iin [A],Tin [ms],Vout [V],Tout  [ms],Delay  [ms],,,
15,0.871,150,3.3,4,8,,0.2V/ms,200V/s
18,0.73,100,3.3,4,8,,,
20,0.661,110,3.3,4,8,,,
