V,Vcin,Vcout,Iin,Ierr,Icout,Icerr,VmoPs,,Pcin,Pcout,%,R,Vcable,Vincal,diff
2.5,2.5,0,0,0,0,0,0,,0,0,#DIV/0!,,,,
3,3,0,0,0,0,0,0,,0,0,#DIV/0!,,,,
3.4,3.4,0,0,0,0,0,0,,0,0,#DIV/0!,,,,
4.4,4.4,3.43,0.2,0.0001,0.174,0.0001,1.789,,0.88,0.59682,0.678204545454546,,,,
4.5,4.5,3.43,0.194,0.0001,0.174,0.0001,1.789,,0.873,0.59682,0.683642611683849,,,,
4.6,4.6,3.459,0.191,0.0001,0.174,0.001,1.804,,0.8786,0.601866,0.685028454359208,,,,
4.8,4.8,3.46,0.179,0.0001,0.1742,0.001,1.803,,0.8592,0.602732,0.701503724394786,,,,
4.9,4.9,3.46,0.179,0.0001,0.1741,0.001,1.804,,0.8771,0.602386,0.686792840041044,,,,
5,5,3.465,0.174,0.0001,0.1742,0.001,1.807,,0.87,0.603603,0.693796551724138,,,,
5.2,5.2,3.472,0.169,0.001,0.1742,0.001,1.811,,0.8788,0.6048224,0.688236686390533,,,,
5.4,5.4,3.472,0.162,0.0001,0.1745,0.001,1.811,,0.8748,0.605864,0.692574302697759,,,,
5.6,5.6,3.472,0.157,0.0001,0.17452,0.001,1.811,,0.8792,0.60593344,0.689187261146497,,,,
5.8,5.8,3.472,0.152,0.0001,0.1746,0.001,1.811,,0.8816,0.6062112,0.687626134301271,,,,
6,6,3.472,0.147,0.0001,0.176,0.001,1.84,,0.882,0.611072,0.692825396825397,,,,
6.4,6.4,3.472,0.144,0.0001,0.179,0.001,1.85,,0.9216,0.621488,0.674357638888889,,,,
6.8,6.8,3.48,0.135,0.0001,0.182,0.001,1.87,,0.918,0.63336,0.689934640522876,,,,
7,7,3.52,0.131,0.001,0.185,0.0001,1.893,,0.917,0.6512,0.710141766630316,,,,
8,8,3.602,0.115,0.0001,0.185,0.0001,1.895,,0.92,0.66637,0.724315217391304,,,,
9,9,3.639,0.103,0.0001,0.185,0.0001,1.89,,0.927,0.673215,0.726229773462783,,,,
10,10,3.639,0.092,0.0001,0.185,0.0001,1.895,,0.93,0.673215,0.723887096774194,,,,
12,12,3.638,0.077,0.0001,0.185,0.0001,1.894,,0.948,0.67303,0.709947257383966,,,,
14,14,3.637,0.067,0.0001,0.185,0.0001,1.89,,0.952,0.672845,0.706769957983193,,,,
16,16,3.637,0.06,0.0001,0.1855,0.0001,1.89,,0.96,0.6746635,0.702774479166667,,,,
18,18,3.637,0.054,0.001,0.185,0.0001,1.89,,0.972,0.672845,0.692227366255144,,,,
20,20,3.637,0.0495,0.0001,0.185,0.0001,1.89,,1,0.672845,0.672845,,,,
22,22,3.6372,0.046,0.0001,0.185,0.0001,1.89,,1.012,0.672882,0.664903162055336,,,,
24,24,3.6372,0.043,0.0001,0.185,0.0001,1.89,,1.008,0.672882,0.667541666666667,,,,
26,26,3.6372,0.04,0.0001,0.185,0.0001,1.89,,1.04,0.672882,0.647001923076923,,,,
28,28,3.6372,0.038,0.0001,0.185,0.0001,1.89,,1.064,0.672882,0.632407894736842,,,,
30,30,3.6372,0.036,0.0001,0.185,0.0001,1.89,,1.08,0.672882,0.623038888888889,,,,
32,32,3.6372,0.034,0.0001,0.185,0.0001,1.89,,1.088,0.672882,0.618457720588235,,,,
34,34,3.6372,0.0325,0.0001,0.185,0.0001,1.89,,1.088,0.672882,0.618457720588235,,,,
36,36,3.6372,0.031,0.0001,0.1826,0.0001,1.89,,1.116,0.66415272,0.595118924731183,,,,
38,38,3.6372,0.03,0.0001,0.183,0.0001,1.89,,1.14,0.6656076,0.583866315789474,,,,
40,40,3.6372,0.029,0.0001,0.183,0.0001,1.867,,1.16,0.6656076,0.573799655172414,,,,
