V,Vcin,Vcout,Iin,Ierr,Icout,Icerr,,,Pcin,Pcout,%,R,Vcable,V3incal,diff,,,
2,2,0,0,0,0,0,,,0,0,#DIV/0!,,,,,,,
3,3,0,0,0,0,0,,,0,0,#DIV/0!,,,,,,,
3.5,3.5,0,0,0,0,0,,,0,0,#DIV/0!,,,,,,,
4,4,0,0,0,0,0,,,0,0,#DIV/0!,4.2,0,4,0,,,
4.2,4.1,0,0,0,0,0,,,0,0,#DIV/0!,4.2,0,4.2,-0.100000000000001,,2.3,16.1
4.5,4.35,1.68,0.02,0.005,0.034,0.005,,,0.087,0.05712,0.656551724137931,4.2,0.084,4.416,-0.066000000000001,,,
5,4.6,2.57,0.06,0.005,0.068,0.005,,,0.276,0.17476,0.633188405797102,4.2,0.252,4.748,-0.358000000000001,,,
7,6.7,2.57,0.05,0.005,0.068,0.005,,,0.335,0.17476,0.521671641791045,4.2,0.168,6.832,-0.132,,,
8,7.6,2.57,0.045,0.005,0.068,0.005,,,0.342,0.17476,0.510994152046784,4.2,0.168,7.832,-0.232,,,
9,8.8,2.57,0.04,0.005,0.067,0.005,,,0.352,0.17219,0.489176136363636,4.2,0.126,8.874,-0.024000000000001,,,
10,9.8,2.57,0.035,0.005,0.067,0.005,,,0.343,0.17219,0.50201166180758,4.2,0.126,9.874,0.026,,,
11,10.8,2.57,0.03,0.005,0.066,0.005,,,0.324,0.16962,0.523518518518519,4.2,0.126,10.874,-0.074,,,
12,11.7,2.57,0.027,0.005,0.066,0.005,,,0.3159,0.16962,0.536942070275404,4.2,0.126,11.874,-0.174000000000001,,,
13,13,2.57,0.023,0.005,0.066,0.005,,,0.299,0.16962,0.567290969899666,4.2,0.084,12.916,0.084,,,
14,13.8,2.57,0.02,0.005,0.066,0.005,,,0.276,0.16962,0.614565217391304,4.2,0.084,13.916,-0.116,,,
15,14.8,2.57,0.02,0.005,0.066,0.005,,,0.296,0.16962,0.573040540540541,4.2,0.084,14.916,-0.116,,,
16,15.8,2.57,0.02,0.005,0.066,0.005,,,0.316,0.16962,0.536772151898734,4.2,0.084,15.916,-0.116,,,
17,16.8,2.57,0.02,0.005,0.066,0.005,,,0.336,0.16962,0.504821428571429,4.2,0.084,16.916,-0.116,,,
17.5,17.3,2.57,0.02,0.005,0.066,0.005,,,0.346,0.16962,0.490231213872832,4.2,0.084,17.416,-0.116,,0.89,16.02
18,17.8,2.57,0.02,0.005,0.066,0.005,,,0.356,0.16962,0.476460674157303,4.2,0.084,17.916,-0.116,,,
19,18.8,2.57,0.02,0.005,0.066,0.005,,,0.376,0.16962,0.451117021276596,4.2,0.084,18.916,-0.116,,,
20,19.8,2.57,0.02,0.005,0.066,0.005,,,0.396,0.16962,0.428333333333333,4.2,0.084,19.916,-0.116,,,
22,21.8,2.57,0.02,0.005,0.066,0.005,,,0.436,0.16962,0.389036697247706,4.2,0.084,21.916,-0.116,,,
24,23.8,2.57,0.02,0.005,0.066,0.005,,,0.476,0.16962,0.356344537815126,4.2,0.084,23.916,-0.116,,,
26,25.8,2.57,0.02,0.005,0.066,0.005,,,0.516,0.16962,0.328720930232558,4.2,0.084,25.916,-0.116,,,
28,27.8,2.57,0.02,0.005,0.066,0.005,,,0.556,0.16962,0.305071942446043,4.2,0.084,27.916,-0.116,,,
30,29.8,2.57,0.02,0.005,0.066,0.005,,,0.596,0.16962,0.284597315436242,4.2,0.084,29.916,-0.116,,,
32,31.8,2.57,0.02,0.005,0.066,0.005,,,0.636,0.16962,0.266698113207547,4.2,0.084,31.916,-0.116,,,
34,33.8,2.57,0.02,0.005,0.066,0.005,,,0.676,0.16962,0.250917159763314,4.2,0.084,33.916,-0.116,,,
36,35.8,2.57,0.02,0.005,0.066,0.005,,,0.716,0.16962,0.236899441340782,4.2,0.084,35.916,-0.116,,,
38,37.8,2.57,0.02,0.005,0.066,0.005,,,0.756,0.16962,0.224365079365079,4.2,0.084,37.916,-0.116,,,
40,39.8,2.57,0.02,0.005,0.066,0.005,,,0.796,0.16962,0.213090452261307,4.2,0.084,39.916,-0.116,,,
