V1,V1cin,V1cout,I1,I1err,IC1,IC1err,PS,PSIN,,PC,%,R,Vcable,V1cincal,diff,PSINcal
20.8,11.7,4.99,1.43,0.005,3.24,0.01,29.744,16.731,,16.1676,96.6325981710597,4.4,6.292,14.508,2.808,20.74644
21,12.33,4.99,1.32,0.005,3.26,0.01,27.72,16.2756,,16.2674,99.9496178328295,4.4,5.808,15.192,2.862,20.05344
21.5,13.25,4.99,1.24,0.005,3.26,0.01,26.66,16.43,,16.2674,99.0103469263542,4.4,5.456,16.044,2.794,19.89456
21.8,13.89,4.99,1.18,0.005,3.31,0.01,25.724,16.3902,,16.5169,100.77302290393,4.4,5.192,16.608,2.718,19.59744
22,14.45,4.99,1.14,0.005,3.31,0.01,25.08,16.473,,16.5169,100.266496691556,4.4,5.016,16.984,2.534,19.36176
22.5,15.3,4.99,1.07,0.005,3.31,0.005,24.075,16.371,,16.5169,100.891210066581,4.4,4.708,17.792,2.492,19.03744
23,16.24,4.99,1.02,0.005,3.31,0.005,23.46,16.5648,,16.5169,99.7108326089056,4.4,4.488,18.512,2.272,18.88224
24,18,4.99,0.92,0.005,3.31,0.005,22.08,16.56,,16.5169,99.7397342995169,4.4,4.048,19.952,1.952,18.35584
25,19.4,4.99,0.85,0.005,3.31,0.005,21.25,16.49,,16.5169,100.163129169193,4.4,3.74,21.26,1.86,18.071
26,20.7,4.99,0.8,0.005,3.31,0.005,20.8,16.56,,16.5169,99.7397342995169,4.4,3.52,22.48,1.78,17.984
28,23.48,4.99,0.71,0.005,3.31,0.005,19.88,16.6708,,16.5169,99.0768289464213,4.4,3.124,24.876,1.396,17.66196
30,25.93,4.99,0.65,0.005,3.31,0.005,19.5,16.8545,,16.5169,97.9969741018719,4.4,2.86,27.14,1.21,17.641
32,28.29,4.99,0.6,0.005,3.31,0.005,19.2,16.974,,16.5169,97.3070578531872,4.4,2.64,29.36,1.07,17.616
34,30.56,4.99,0.55,0.005,3.31,0.005,18.7,16.808,,16.5169,98.2680866254165,4.4,2.42,31.58,1.02,17.369
36,32.8,4.99,0.52,0.005,3.31,0.005,18.72,17.056,,16.5169,96.8392354596623,4.4,2.288,33.712,0.912000000000006,17.53024
38,35.6,4.99,0.47,0.005,3.31,0.005,17.86,16.732,,16.5169,98.7144393975615,4.4,2.068,35.932,0.332000000000001,16.88804
40,37.75,4.99,0.44,0.005,3.31,0.005,17.6,16.61,,16.5169,99.4394942805539,4.4,1.936,38.064,0.314,16.74816
