respondant,operation,crush,cut,fall,burn,poison,drown,suffocate
B,Machine,0.02,0.02,0.02,0.002,0.002,0.002,0.02
D1,Machine,0.01,0.1,0.01,0.01,0.01,0.01,0.01
D2,Machine,30,0.3,30,3,3,0.03,0.3
D3,Machine,0.002,0.2,0.2,0.002,0.002,0.002,0.002
D4,Machine,30,30,0.3,0.300,0.3,0.3,3
D5,Machine,0.1,1,1,0.01,0.01,0.010,0.01
D6,Machine,0.1,1,0.1,0.01,0.01,0.100,0.01
B,Building,0.2,0.02,0.2,0.002,0.002,0.002,0.002
D1,Building,0.002,0.02,0.02,0.002,0.002,0.002,0.002
D2,Building,30,0.3,30,0.300,0.3,0.03,0.03
D3,Building,0.1,1,10,0.010,0.01,0.010,0.01
D4,Building,1,1,0.1,0.01,0.01,0.01,0.01
D5,Building,0.1,0.1,1,0.01,0.01,0.1,0.01
D6,Building,0.002,0.2,0.020,0.002,0.002,0.002,0.002
B,Feed,0.020,0.02,0.02,0.02,0.02,0.02,0.02
D1,Feed,0.020,0.02,0.02,0.002,0.002,0.002,0.002
D2,Feed,0,0,0,0,0,0,0
D3,Feed,0.1,0.1,1,0.01,0.10,0.01,0.01
D4,Feed,3,3,3,0.30,3,0.03,0.3
D5,Feed,0.002,0.02,0.002,0.002,0.002,0.002,0.002
D6,Feed,0.002,0.02,0.02,0.002,0.002,0.002,0.002
B,Indoor,3,0.03,0.3,0.03,0.03,0.03,0.03
D1,Indoor,0.1,0.01,0.01,0.01,0.01,0.01,0.01
D2,Indoor,30,0.03,30,0.030,3,0.030,30
D3,Indoor,0.3,0.3,3,0.03,0.30,0.03,0.03
D4,Indoor,30,0.3,3,0.30,0.3,0.03,0.3
D5,Indoor,30,0.3,30,0.03,3,0.30,0.03
D6,Indoor,10,0.01,0.01,0.01,0.01,0.01,0.01
B,Treat,1,0.01,0.1,0.01,0.01,0.01,0.01
D1,Treat,1,0.01,0.01,0.01,0.01,0.01,0.01
D2,Treat,30,30,0.03,0.03,3,0.03,3
D3,Treat,0.1,0.1,10,0.01,0.01,0.01,0.01
D4,Treat,30,3,0.3,0.03,0.03,0.03,0.03
D5,Treat,30,3,3,0.03,0.03,0.03,30
D6,Treat,1,0.01,0.01,0.01,0.01,0.01,0.01
B,Outdoor,0.02,0.002,0.02,0.002,0.002,0.002,0.002
D1,Outdoor,0.1,0.01,0.01,0.01,0.01,0.01,0.01
D2,Outdoor,30,0.3,30,0.03,0.03,0.03,0.03
D3,Outdoor,0.1,0.1,10,0.01,0.01,0.01,0.01
D4,Outdoor,30,3,3,0.03,0.03,0.03,0.03
D5,Outdoor,3,0.3,30,0.03,0.03,0.03,0.30
D6,Outdoor,1,0.01,0.01,0.01,0.01,0.01,0.01
B,Feeding,0.02,0.002,0.002,0.002,0.002,0.002,0.002
D1,Feeding,0.002,0.002,0.002,0.002,0.002,0.002,0.002
D2,Feeding,30,3,30,0.30,3,0.03,0.03
D3,Feeding,0.002,0.002,0.02,0.002,0.002,0.002,0.002
D4,Feeding,1,1,0.10,0.01,0.01,0.01,0.01
D5,Feeding,0.1,1,0.10,0.01,0.01,0.1,0.01
D6,Feeding,1,1,1,0.01,0.01,0.01,0.01
B,Milking,0.02,0.002,0.02,0.002,0.002,0.002,0.002
D1,Milking,1,0.01,0.01,0.01,0.01,0.01,0.01
D2,Milking,30,0.3,3,0.3,3,0.03,0.030
D3,Milking,0.1,0.01,1,0.01,0.01,0.01,0.01
D4,Milking,1,0.1,1,0.01,0.01,0.01,0.01
D5,Milking,10,0.1,0.1,0.01,0.01,0.01,0.1
D6,Milking,0.2,0.002,0.002,0.002,0.002,0.002,0.002
B,Manure,0.002,0.002,0.02,0.002,0.2,0.002,0.02
D1,Manure,0.01,0.01,0.01,0.01,0.1,0.01,0.1
D2,Manure,0.002,0.3,3,0.03,30,3,30
D3,Manure,0.01,0.01,1,0.01,0.1,0.01,0.01
D4,Manure,1,1,0.1,0.01,10,0.1,10
D5,Manure,0.01,0.01,1,0.1,10,10,10
D6,Manure,0.01,0.01,0.1,0.01,1,0.1,0.1
