E,Count
5.5,0
6,39431.9555386901
6.5,36305.9783391654
7,42450.9804286063
7.5,55698.3566582203
8,139003.187537193
8.5,394581.668108702
9,113118.42609942
9.5,281044.992417097
10,339126.316934824
10.5,90080.8540061116
11,73844.873778522
11.5,91649.0217521787
12,56757.5003653765
12.5,44841.250628233
13,44790.7701507211
13.5,44801.6106449068
14,45144.1425345838
14.5,45942.3006661236
15,46496.6275431216
15.5,46112.677551806
16,45983.721781522
16.5,45245.2662326396
17,45471.9491936266
17.5,44648.547809571
18,43909.2845730484
18.5,43122.7746233344
19,42337.3978473246
19.5,41468.5308821499
20,40367.1583719552
20.5,39101.5600599349
21,38438.01753968
21.5,37215.1332460344
22,36255.3351186216
22.5,35270.4594954848
23,33835.6174714863
23.5,32906.8851806223
24,31854.2120158672
24.5,30925.4797250032
25,29796.2781563401
25.5,28773.3779251575
26,27592.0774899423
26.5,26729.0361225605
27,25665.1999913156
27.5,24316.5982123464
28,23115.7188862562
28.5,22130.5192839354
29,21572.631649673
29.5,20309.1354351491
30,19238.667525351
30.5,18322.231374681
31,17646.8794364482
31.5,16553.1106423587
32,15499.9055489898
32.5,14541.87197797
33,13525.0399522483
33.5,12666.7723804712
34,11507.4588302523
34.5,10375.9592697024
35,9731.9142688066
35.5,9115.375100635
36,8094.3682640791
36.5,6929.4250104576
37,6153.3185597509
37.5,5029.5368614607
38,4188.322273083
38.5,3403.8353096694
39,2261.4300823771
39.5,1212.8091061022
40,419.7205424425
40.5,0
